BODY;NAME;TYPECODE;LONGIN;LATIN;LENGTHKM;Feature_ID;Feature_Name;Clean_Feature_Name;Target;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;Approval_Status;Approval_Date;Reference;Origin;Additional_Info;Last_Updated
Venus;Podaga Tholus;TH;2;-56.3;40;4771;Podaga Tholus;Podaga Tholus;Venus;40;-56.3;2;-56.3;-56.3;2;2;Planetocentric  +East  0 - 360;Europe;Slavic;Tholus, tholi;TH;v56;Approved;1997;107;Slavic weather goddess.;;10/1/06
Venus;Polenova;AA;335.5;-45.5;41;4779;Polenova;Polenova;Venus;41;-45.5;335.5;-45.5;-45.5;335.5;335.5;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v55;Approved;2000;64;Elena. Russian painter, folk crafts trustee (1850-1898).;;12/30/08
Venus;Polik mana Mons;MO;264;24.5;600;4780;Polik-mana Mons;Polik mana Mons;Venus;600;24.5;264;24.5;24.5;264;264;Planetocentric  +East  0 - 360;North America;Hopi;Mons, montes;MO;v28;Approved;1997;107;Hopi butterfly maiden ('kachina').;;10/1/06
Venus;Polina;AA;148.2;42.4;21.6;4781;Polina;Polina;Venus;21.6;42.4;148.2;42.4;42.4;148.4;148.1;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v12;Approved;1985;98;Russian first name.;;12/30/08
Venus;Poloznitsa Corona;CR;302;0.5;675;4890;Pölöznitsa Corona;Poloznitsa Corona;Venus;675;0.5;302;0.5;0.5;302;302;Planetocentric  +East  0 - 360;Europe;Finland;Corona, coronae;CR;v30;Approved;1994;27;Finno-Ugric grain goddess.;;11/17/08
Venus;Poludnitsa Dorsa;DO;179.5;5;1500;4785;Poludnitsa Dorsa;Poludnitsa Dorsa;Venus;1500;5;179.5;5;5;179.5;179.5;Planetocentric  +East  0 - 360;Europe;Slavic;Dorsum, dorsa;DO;v25;Approved;1997;107;E. Slavic witch, corn fields deity.;;12/30/08
Venus;Pomona Corona;CR;299.4;79.3;315;4790;Pomona Corona;Pomona Corona;Venus;315;79.3;299.4;79.3;79.2;307.8;290.9;Planetocentric  +East  0 - 360;Europe;Roman;Corona, coronae;CR;v01;Approved;1985;1;Roman goddess of fruits.;;10/1/06
Venus;Ponmakya Corona;CR;11.8;34.3;280;4794;Ponmakya Corona;Ponmakya Corona;Venus;280;34.3;11.8;35.6;33;13.4;10.2;Planetocentric  +East  0 - 360;Asia;Burma;Corona, coronae;CR;v08;Approved;2003;65;Burman (Myanmar) fertility goddess.;;10/1/06
Venus;Ponselle;AA;289.1;-63;57.7;4796;Ponselle;Ponselle;Venus;57.7;-63;289.1;-63;-63;289.1;289.1;Planetocentric  +East  0 - 360;North America;American;Crater, craters;AA;v60;Approved;1994;99;Rosa. American opera singer (1897-1981).;;10/1/06
Venus;Poranica Valles;VA;178.5;-21;550;4801;Poranica Valles;Poranica Valles;Venus;550;-21;178.5;-21;-21;178.5;178.5;Planetocentric  +East  0 - 360;Europe;Slovenia;Vallis, valles;VA;v37;Approved;1997;107;Slovenian name for planet Venus. Name changed from Poranica Vallis.;;10/1/06
Venus;Potanina;AA;53.1;31.6;94.2;4810;Potanina;Potanina;Venus;94.2;31.6;53.1;31.9;31.3;53.4;52.8;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v09;Approved;1985;64;Aleksandra. Russian explorer (1843-1893).;;12/30/08
Venus;Potter;AA;309.1;7.2;46.9;4812;Potter;Potter;Venus;46.9;7.2;309.1;7.2;7.2;309.1;309.1;Planetocentric  +East  0 - 360;Europe;England;Crater, craters;AA;v30;Approved;1994;99;Beatrix. English children's author (1866-1943).;;10/1/06
Venus;Praurime Fluctus;FL;154;16;750;4819;Praurime Fluctus;Praurime Fluctus;Venus;750;16;154;16;16;154;154;Planetocentric  +East  0 - 360;Europe;Lithuania;Fluctus, fluctūs;FL;v25;Approved;1997;107;Lithuanian fire goddess.;;10/1/06
Venus;Prichard;AA;11.5;44;23.3;4821;Prichard;Prichard;Venus;23.3;44;11.5;44;44;11.5;11.5;Planetocentric  +East  0 - 360;Oceania;Australia;Crater, craters;AA;v08;Approved;1985;46;Catharina. Australian writer (1884-1969).;;10/1/06
Venus;Prthivi Corona;CR;248.5;10.8;375;4855;Prthivi Corona;Prthivi Corona;Venus;375;10.8;248.5;12.2;9.5;250.7;246.8;Planetocentric  +East  0 - 360;Asia;India;Corona, coronae;CR;v28;Approved;2003;83;Hindu (India) mother goddess.;;10/1/06
